round,type,content,time
1,question,推荐有南瓜的食谱,2025-04-05 00:48:19
1,keyword,健脾,2025-04-05 00:48:19
1,keyword,补气,2025-04-05 00:48:19
1,keyword,养胃,2025-04-05 00:48:19
1,keyword,润肠,2025-04-05 00:48:19
1,keyword,清热,2025-04-05 00:48:19
1,keyword,化湿,2025-04-05 00:48:19
1,keyword,安神,2025-04-05 00:48:19
1,keyword,益气,2025-04-05 00:48:19
1,keyword,补血,2025-04-05 00:48:19
1,keyword,滋阴,2025-04-05 00:48:19
1,candidate,地中海烤蔬菜三明治,2025-04-05 00:48:19
1,candidate,烤甜菜根沙拉,2025-04-05 00:48:19
1,candidate,美式牛排,2025-04-05 00:48:19
1,candidate,椰奶咖喱虾,2025-04-05 00:48:19
1,candidate,法式香煎扇贝,2025-04-05 00:48:19
1,candidate,香煎鳕鱼配芦笋,2025-04-05 00:48:19
1,candidate,豆泥酱鹰嘴豆泥（Hummus）,2025-04-05 00:48:19
1,candidate,摩洛哥鹰嘴豆炖菜,2025-04-05 00:48:19
1,candidate,牛油果蛋沙拉,2025-04-05 00:48:19
1,candidate,番茄牛肉意大利面,2025-04-05 00:48:19
1,candidate,扒烤三文鱼配莳萝,2025-04-05 00:48:19
1,candidate,烤三文鱼配柠檬,2025-04-05 00:48:19
1,candidate,希腊菠菜派,2025-04-05 00:48:19
1,candidate,墨西哥鸡肉玉米汤,2025-04-05 00:48:19
1,candidate,绿扁豆沙拉配芝麻酱,2025-04-05 00:48:19
1,candidate,巴西烤菠萝,2025-04-05 00:48:19
1,candidate,波兰酸黄瓜汤,2025-04-05 00:48:19
1,candidate,希腊黄瓜酸奶沙拉,2025-04-05 00:48:19
1,candidate,鸡胸肉玉米沙拉,2025-04-05 00:48:19
1,candidate,希腊柠檬烤土豆,2025-04-05 00:48:19
1,candidate,德式西芹苹果沙拉,2025-04-05 00:48:19
1,candidate,希腊菠菜派（Spanakopita）,2025-04-05 00:48:19
1,candidate,鸡肉凯撒沙拉,2025-04-05 00:48:19
1,candidate,意式蘑菇烩饭,2025-04-05 00:48:19
1,candidate,意式青酱烤蔬菜,2025-04-05 00:48:19
1,candidate,番茄金枪鱼意式烩饭,2025-04-05 00:48:19
1,candidate,牛油果鸡蛋吐司,2025-04-05 00:48:19
1,candidate,德国啤酒炖牛肉,2025-04-05 00:48:19
1,candidate,土耳其酸奶黄瓜汤,2025-04-05 00:48:19
1,candidate,土耳其烤肉丸,2025-04-05 00:48:19
1,candidate,埃塞俄比亚扁豆炖菜,2025-04-05 00:48:19
1,candidate,茄汁烤豆配吐司,2025-04-05 00:48:19
1,candidate,古巴黑豆汤,2025-04-05 00:48:19
1,candidate,德国土豆沙拉,2025-04-05 00:48:19
1,candidate,葡萄牙绿菜汤,2025-04-05 00:48:19
1,candidate,意式蔬菜汤,2025-04-05 00:48:19
1,candidate,法式红酒炖鸡,2025-04-05 00:48:19
1,candidate,藜麦彩椒盅,2025-04-05 00:48:19
1,candidate,墨西哥牛油果鸡肉卷,2025-04-05 00:48:19
1,candidate,俄式罗宋汤,2025-04-05 00:48:19
1,candidate,扁豆牧羊人派,2025-04-05 00:48:19
1,candidate,烤甜菜根配羊奶酪,2025-04-05 00:48:19
1,candidate,西班牙土豆蛋饼,2025-04-05 00:48:19
1,candidate,香烤鸡翅配烤南瓜,2025-04-05 00:48:19
1,candidate,西班牙海鲜饭,2025-04-05 00:48:19
1,candidate,奶油菠菜通心粉,2025-04-05 00:48:19
1,candidate,印度风味烤菜花,2025-04-05 00:48:19
1,candidate,墨西哥牛油果沙拉,2025-04-05 00:48:19
1,candidate,瑞典肉丸,2025-04-05 00:48:19
1,candidate,牙买加椰香饭豆（Rice and Peas）,2025-04-05 00:48:19
