index,subject,relation,object,cat,csv_idx
2292,意式青酱意面,食谱的功效,清热除烦,食谱的功效,2292
2294,意式青酱意面,食谱的功效,补益精力,食谱的功效,2294
2296,意式青酱意面,食谱的功效,舒缓疲劳,食谱的功效,2296
2298,意式青酱意面,食谱的功效,清热消肿,食谱的功效,2298
2300,意式青酱意面,食谱的功效,理气活血,食谱的功效,2300
2302,意式青酱意面,食谱的功效,舒筋健体,食谱的功效,2302
2304,意式青酱意面,食谱的食材构成,意面,C,2304
2306,意式青酱意面,食谱的食材构成,罗勒叶,A2,2306
2308,意式青酱意面,食谱的食材构成,松子,A3,2308
2310,意式青酱意面,食谱的食材构成,橄榄油,D,2310
2312,意式青酱意面,食谱的食材构成,帕玛森奶酪粉,B2,2312
2314,意式青酱意面,食谱的食材构成,大蒜,D,2314
2316,意式青酱意面,食谱的食材构成,海盐,D,2316
38306,意式青酱意面,食谱的功效,健脾益气,食谱的功效,38306
38308,意式青酱意面,食谱的功效,补虚润燥,食谱的功效,38308
38310,意式青酱意面,食谱的功效,增进食欲,食谱的功效,38310
38312,意式青酱意面,食谱的食材构成,意大利面,C,38312
38314,意式青酱意面,食谱的食材构成,罗勒叶,A2,38314
38316,意式青酱意面,食谱的食材构成,松子,A3,38316
38318,意式青酱意面,食谱的食材构成,橄榄油,D,38318
38320,意式青酱意面,食谱的食材构成,巴马臣干酪,B2,38320
38322,意式青酱意面,食谱的食材构成,盐,D,38322
